id,name,description,neighborhood_overview
1785920,"""La Casita"" enchanting guest house","<b>The space</b><br />This charming guest house offers a unique experience in one of San Diego's finest historic, neighborhood of Mission Hills which is conveniently located in the heart of the city.  Our enchanting garden guest house is found at the end of a cul de sac and sits on one of Mission Hills' gorgeous canyons. It is attached to the main house yet is completely private and separate. There is a private entrance on the side of the main house and there is always plenty of on-street parking.  This retreat offers a unique garden that promises to enchant and make you feel as though you are on a tranquil oasis. Here you can enjoy a gorgeous pool and jacuzzi surrounded by a lush garden. The wildlife is vibrant and you will be accompanied by hummingbirds buzzing about, mocking birds, finches, red-tail hawks flying overhead, and our beloved resident great horned owls! The living room and master bedroom open up to a lovely private patio where you can enjoy the gorgeous canyon that the h","MIssion Hills is a wonderful, charming residential  neighborhood which is centrally located. There is no traffic. It has easy access and multiple points of entry/ exits for example to and from the 5 & 8 freeways."
1792566,Charming cottage -- ocean breeze,"Super cute, 2-bedroom house cottage, with inviting ambiance, in Ocean Beach, blocks from the sparkling Pacific Ocean and Sunset Cliffs. <br /><br />Quiet neighborhood, short walk to ocean, yet centrally located for convenience, great dining and sight-seeing (The Zoo, Airport, Downtown/Gaslamp Quarter, La Jolla, Belmont Park, Little Italy).   <br /><br />I use a professional cleaner who is aware of covid-19 needs.<br /><br /><b>The space</b><br />House features: Comfy, deluxe beds (hypo-allergenic), sofa bed with memory foam mattress,whole-house water filtration system, earth-friendly cleaning products and it has been lovingly maintained by the owners, who live adjacent to the property in a small cottage. (We are there for visitors if necessary but also allow for maximum privacy.)<br /><br />Great kitchen for creative cooking and hosting friends<br />Soothing ocean breezes and terraced garden areas in a Zen-like setting<br /><br /><b>Guest access</b><br />Fully equipped kitchen, Wi-Fi, ","Be sure to check out Farmer's Market on Wednesdays on Newport Ave from 4-7 pm.  Free community yoga class at 4 pm at Indie Yoga on Bacon/Niagra is great.  One of my favorite places to eat healthy delicious food is Peoples Co-op on Voltaire Street.      Downtown Ocean Beach is a few blocks away with great restaurants, coffee shops, antique shops, the pier and other businesses.     Description of OB in San Diego magazine (URL HIDDEN)"
1798441,Quiet oasis in family neighborhood,"San Diego is a city of neighborhoods.  While a car is necessary almost anywhere except downtown, we are within a mile of most key freeways and 15-20 minutes from nearly all major attractions.<br /><br /><b>The space</b><br />San Diego is a city of neighborhoods.  Enjoy our location in Rancho Penasquitos.  While a car is necessary almost anywhere except downtown, we are within a mile of most key freeways and 15-20 minutes from nearly all major attractions while offering a quiet respite. We are next to a miles-long canyon good for hiking. Our single level home is quaint but with a large back yard and covered patio that is the best room in the house! <br /><br />We have been here for over 25 years and can give you information about local events and attractions or off-the-beaten path experiences.  Our home is clean,but also enjoyed by a well-behaved lab and a cat.  We enjoy cooking, travel and testing our Spanish. You have access to all areas of the house and yard including the kitchen, la","Hilly with good views while still humble.  Park and canyon wildlife and trails are 2 minute walk away.  Great location to cycle to the beach, too, with a 15 mile separated bike path along Hwy 56. Neighbors are the greatest and available if needed."
1811134,"Cozy Studio/Flat Steps to Ocean747- Sleeps 2, BBQ","Note: All guests will need to agree and sign the terms stated in Rules below when they make reservation. A Confirmation Contract and Reservation Request Form will be emailed and must be completed and returned.  Also we require guest(s) to show Identification when checking in. Subleasing, Parties, Smoking and Pets are Prohibited.<br /><br /><b>The space</b><br />IN INQUIRY: Include # of ADULTS & CHILDREN PLEASE.<br /><br />This Property is Exclusively Managed by: <br />Mission Beach Management <br />747 1/2 San Fernando Place <br />San Diego, CA 92109<br /><br />Property Address:<br />747 San Fernando Place<br />San Diego, CA 92109<br /><br />*- Utilities included in Price<br />**- Security Deposit Required for reservations longer than one month.<br /><br />-3 units available<br />Property Address:<br />747 San Fernando Place<br />San Diego, CA 92109<br /><br />One Block to Ocean and One Block to Bay in Secluded South Mission Beach. Stay here with us to enjoy the beach and bay away from",
1811602,Cozy Ocean Front Beach Cottage 1br 3825 -Sleeps 5,"Note: All guests will need to agree and sign the terms stated in Rules below when they make reservation. A Confirmation Contract and Reservation Request Form will be emailed and must be completed and returned.  Also we require guest(s) to show Identification when checking in.<br /><br /><b>The space</b><br />IN INQUIRY: Include # of ADULTS & CHILDREN PLEASE.<br /><br />This Property is Exclusively Managed by: <br />Mission Beach Management <br />747 1/2 San Fernando Place <br />San Diego, CA 92109<br /><br />Address:<br />3825 Ocean Front Walk<br />San Diego, CA 92109<br /><br />These original Mission Beach cottages are located just 1 block to the main strip of Old Mission Beach. Lots of shops, restaurants, bars & pubs within a 5 minute walking distance.<br /><br />Property comes fully furnished with plenty of linen & towels, Full kitchen with pots, pans, plates, utensils, microwave, coffee maker, blender, toaster, stove, oven, dishwasher, refrigerator, a BBQ for every unit, flatscreen",
1814841,Pacific BeachCharmingVictorian 2+br- CLOSE TO ALL!,"Note: All guests will need to agree and sign the terms stated in Rules below when they make reservation. A Confirmation Contract and Reservation Request Form will be emailed and must be completed and returned.  Also we require guest(s) to show Identification when checking in.<br /><br /><b>The space</b><br />IN INQUIRY: Include # of ADULTS & CHILDREN PLEASE.<br /><br />This Property is Exclusively Managed by: <br />Mission Beach Management <br />747 1/2 San Fernando Place <br />San Diego, CA 92109<br /><br />*-ALL FEES ARE INCLUDED IN PRICE! <br /><br />Address:<br />1812 HORNBLEND ST. #B<br />SAN DIEGO, CA 92109<br /><br />Sleeps 6: <br />2 Queen<br />2 Twins- Trundle Bed<br /><br />2 BEDROOMS, SLEEPING PORCH, 1 BATH<br /><br />Lovely Victorian upper Duplex, 2 bedrooms, sleeping porch, 1 bath, 11 blocks to the ocean, 5 blocks to the bay. One block to shopping, restaurants and Starbucks. Amenities include Full kitchen with, microwave, oven and stove, coffee maker, refrigerator, dishwas","This location is perfect for all resources. Many shops, restaurants, bars and  within close proximity. Great location for foodies. Shopping Center is right across street with Trader Joes, Vons, Gym, Frozen Yogurt, Thai, Pho, Italian, Greek, American, Diner, Burgers, Mexican, Indian, Fine Dining, Smoothie Shop, Cafes, Breakfast, Bike rentals, Pharmacy, Mechanic Shop. Very Walkable and easy to get to everything in Pacific Beach. 1 Mile to Ocean and 5 Blocks to bay. This location has everything you need to make your stay easy and relaxing"
1815604,"Walk distance to Pacific Beach, Amenities, Cozy","Located at well known The Plaza Condominium Association.<br />Minimum 30 days, single guest .Will consider a second guest<br /><br />I stay in the first room <br />You will have you own private room <br />We share the bathroom, kitchen and Dining area.<br /><br /><b>The space</b><br />Waking from Diamond to the beach, will take 15 minutes.<br />If you take your time, enjoy the site, nice Garnet Av. <br />you gonna love the walk:)<br />Walk from Lamont to the Bay, will take 10 minutes,<br />In the Bilding we have, 4 Jacuzzis,4 Heated pools,Gym, Sauna, Tennis Court, Billiard room, Library,  lounge area, barbecue area, gated communit<br /><br />Cozy, very clean, I make sure my guests have all that I can provide, linens,pillows, towels, mattress, all are comfortable <br /><br />The all common areas<br /><br />Travel some times, but stay at the place as well.<br /><br />Walk to Shopping, night  life, supermarkets, all kind of restaurants.<br /><br />Easy public transportation , I provide 2 ","Walk to Stores, nice Bars,supermarkets, all kind of restaurants."
1815898,Master Suite with  Private bath and Bay views,"Relaxing , Pet Free, professionally clean large Suite for two, with private bath and private balcony overlooking the pool with lovely partial Mission Bay and ocean views.  Freshly painted, Sunny room<br />Small table and chairs . Suite has a Private bathroom with jetted tub and shower, 2 sinks. TV with basic cable. Walk in closet, small fridge. Microwave and coffee maker, hair dryer<br />Ceiling Fan and portable air conditioning unit <br />New Carpet<br />The Suite has a lock <br />Please read our guidelines and reviews<br /><br /><b>The space</b><br />Very comfortable large Master bedroom on Suite private bathroom,  with private balcony overlooking the pool with Mission Bay's views. Your room is upstairs located right across another room<br />There are only two bedrooms and two bathrooms on the upstairs floor and each room has a balcony <br />The outside covered dinning room and living room are downstairs.<br />This master bedroom has a walk in closet,  gas fire place with remote cont","Our place is located in a family residential area, Starbucks one block from our house<br />There is a small wonderful Sprouts supermarket and Laundromat that are walking distance from our house. A bus stop one block from the house, and everything is pretty much 5 to 15 minutes from home by car. This is a quiet residential neighborhood and after 10pm we keep the noise level down. <br /><br />The closest touristic area are Old Town, and Sea World. We love that we live 10 minutes from down town and from the airport as we travel a lot."
1827249,"Downtown Views! Luxury, Modern Unit with Balcony!","This Gorgeous 1.5 Bedroom 1 Bathroom features Extraordinary views of fabulous Downtown San Diego.  Parc Suites San Diego is a Victorian Manor, lovingly restored into one of the most unique and comfortable lodging facilities in San Diego.<br /><br /><b>The space</b><br />Condo, 1.5 Bedroom 1 Bathroom Balcony Suite.<br />Parc Suites San Diego is a Victorian Manor, lovingly restored into what is now one of the most unique and comfortable lodging facilities within one minute of downtown San Diego's exciting Gaslamp District.  Parc Suites is located in San Diego’s largest Historic District.  It is the former home and health retreat of one of San Diego’s most prominent citizens, Dr. J.M. Peebles.  Dr. Peebles traveled the globe back in the late 1800’s but always returned home to what is now Parc Suites San Diego.  He loved the ocean breezes and the fabulous views from his rooftop deck.  While staying at Parc Suites San Diego, you will be a 5-minute drive from Coronado Island's white sand bea","Parc Suites San Diego is located one mile from San Diego's exciting downtown Gaslamp District. It is located in the neighborhood known as Sherman Heights. The area was developed by Matthew Sherman. Mr. Sherman was a developer in San Diego and created ""Sherman's Addition,"" or ""Sherman's Heights"". He purchased the land in June 1867, a month after Alonzo Horton (Horton Plaza) purchased land for New Town San Diego (now downtown). Sherman Heights is the largest historic district in San Diego and features outstanding Victorian Architecture including the Villa Montezuma which is only a few blocks away from Parc Suites San Diego."
1827258,"Luxurious and Priced Affordably, Downtown Unit","Parc Suites San Diego is a Victorian Manor, lovingly restored into what is now one of the most unique and comfortable lodging facilities within one minute of downtown San Diego's exciting Gaslamp District. We offer value pricing and specialize in Extended Stay housing. Parc Suites maintains full time staff to insure units and grounds are in top condition. Each unit is designed to host 1-2 guests maximum to insure that our tranquil environment is always intact. Super Quiet, Super Central.<br /><br /><b>The space</b><br />Parc Suites San Diego is a Victorian Manor, lovingly restored into what is now one of the most unique and comfortable lodging facilities within one minute of downtown San Diego's exciting Gaslamp District. Parc Suites is located in San Diego’s largest Historic District. It is the former home and health retreat of one of San Diego’s most prominent citizens, Dr. J.M. Peebles. Dr. Peebles traveled the globe back in the late 1800’s but always returned home to what is now Pa","Parc Suites San Diego is located one mile from San Diego's exciting downtown Gaslamp District. It is located in the neighborhood known as Sherman Heights. The area was developed by Matthew Sherman. Mr. Sherman was a developer in San Diego and created ""Sherman's Addition,"" or ""Sherman's Heights"". He purchased the land in June 1867, a month after Alonzo Horton (Horton Plaza) purchased land for New Town San Diego (now downtown). Sherman Heights is the largest historic district in San Diego and features outstanding Victorian Architecture including the Villa Montezuma which is only a few blocks away from Parc Suites San Diego."
1831431,Urban Cottage Getaway,"Our quaint & comfortable one-bedroom cottage nestled in the middle of the neighborhood for a cozy feel yet we are close to EVERYTHING! It comfortably fits 2-3 people and is centrally located on a quiet street in North Park. It is just two blocks from a number of restaurants, markets, brewpubs, and coffee shops. Peaceful. It is a back house and is tucked off the street behind our main residence.<br /><br /><b>The space</b><br />Enjoy your own private, charming cottage located behind the main house: 1 bedroom, 1 bath, sleeps 2 comfortably, can accommodate an additional 2 people or kids. The bedroom has a queen-sized bed, the living room has a couch.  A folding cot with memory foam is available for extra sleeping space and is stored in the closet. We also have a pack and play for the babies.<br /><br />For your arrival: we can provide granola bars, coffee, tea, and eggs. We recently added a small dining table as the world has changed and a lot of our guests are now choosing to DINE-IN! <b","The neighborhood is cute and quiet and totally walkable. You never need to leave. We are two blocks away from tons of restaurant options for breakfast, lunch, and dinner, coffee shops, a corner market, larger grocery chains, and a craft beer tasting room."
1851985,Hidden Beach Oasis Close to Sunset Cliffs; Pets OK,"No events or parties allowed.<br /><br />Private Home in Sunset Cliffs walk-able area close to cafes, pocket beaches, 2 blks to Sunset Cliffs, 5 minute drive or 10 minute walk to Ocean Beach big sandy beach!<br /><br />Tranquil setting, hidden behind a wall of bamboo, ocean views from many rooms & deck. Walking distance to shops/restaurants. Central A/C. Pls note: deck is for day use only. Guests must be off the deck by 9 pm as voices travel and disturb neighbors in the front house.<br /><br /><b>The space</b><br />The home has an open indoor outdoor living space. 6 beds within 5 bedrooms and 3 baths. Sleeps 8-10 adults and a few kids. 3 bedrooms are large and the other 2  are walk-through and much smaller efficiency bedrooms without closets, but have a one large dresser, shelves and clothing rack, each with queen beds and are really great for kids. Master bedroom has views to ocean. The kitchen has everything you need to prepare a fabulous meal or BBQ. The bathrooms have a spa like qu","The house is located in Sunset Cliffs only 2 blocks to the ocean for great sunsets.  It is 2 blocks to a few amazing surf spots, cafes and about 8 blocks to bigger restaurants, bars and the casual nightlife found within the town of Ocean Beach.Please note that this is a family-centric neighborhood and ask that if you intend to party like rock stars, please do not book this home. Our  quiet hours from 8 pm until 8 am are strictly enforced ."
1906699,"Nice, quiet,private Room at North La Jolla/ UTC","Best priced for this absolutley unique and Super prime location  La Jolla/Renaissance! Resort living home. , Newer, highly upgraded 3/2.5 bath,1900 ESF,  2 stories, high ceilings, Sunny, quiet, private and bright. high quality mattresses. 2nd room is also for rent you can ask, Community has pool, jacuzzi and lots of beautiful park areas  Minutes away from La Jolla Shores beaches, Freeways, UCSD, Walking to Parks, Library, Restaurants and shops and much more :))<br /><br /><b>The space</b><br />This upstairs Room is private, quiet, sunny and bright with a newer and a very high quality mattress .<br />In the best la Jolla /Renaissance location Surrounded with gorgeous Parks and in this gorgeous newer, highly upgraded 3 bedroom , 2.5 bath, 1900 ESF,  2 story Townhouse, centrally located, high ceilings, Sunny, quiet, bright, Private with two car attached garage. Pool, Jacuzzi. <br /> Minutes away from La Jolla Shores beaches, UCSD, Free ways and only Walking distance to shopping centers/ma","Safe, convenient, practically walking everywhere and absolutely beautiful neighborhood with the nicest neighbors."
1909693,Room/bath in sub penthouse,"This amazing spot in Little Italy is just a short walk to the gas lamp district, convention center, Padres games, the San Diego bay, and a short drive to the San Diego Zoo, Balboa Park, and the beaches in Coronado.  60 day minimum stay per the COOP.<br /><br /><b>The space</b><br />This amazing spot in Little Italy is just a short walk to the gas lamp district, convention center, Padres games, the San Diego bay, and a short drive to the San Diego Zoo, Balboa Park, and the beaches in Coronado. <br /><br />This place is literally exploding with art.  You will enjoy the mosaics and frescoes and objects from around the world.  There is a pool, jacuzzi, and gym.<br /><br /><br /><br />Someone will be there to meet you and to show you around the place and give you tips and answer any questions you may have about the city.  More interaction might be possible if you would like.<br /><br />Yes.  We are very close to the trolley which can take you to all major shopping, sporting events, dining, ",
1917510,Great top-floor Little Italy condo,"1-br top-floor condo in the heart of Little Italy in San Diego.  Granite countertops, stainless steel appliances and in-unit washer/dryer. Free secure parking. Steps to the bay and fabulous restaurants just out the door. 30-night min = no occ. tax.<br /><br /><b>The space</b><br />5-Star rated with more than 20 reviews on another booking site. This is a top-floor condo that is very quiet and right in the middle of Little Italy.  This is a great place to jump off to see the entire city and a short walk, trolley, or cab ride to the famous Gaslamp District for nightlife and shopping. 1-month minimum stay.<br /><br /><b>Guest access</b><br />Gym and huge common area with 2 grills with beautiful bay and sunset view.<br /><br /><b>Other things to note</b><br />High speed internet and wifi.  HD cable and large flat-screen TV.  Free calls to US and Canada.",Little Italy is one of San Diego's best neighborhoods with great restaurants and outdoor cafes just steps from the condo.  The San Diego Bay and waterfront park are just three blocks away.  There is also an incredible farmers market every Saturday just a couple streets from the entrance.
